Training Mode,Training Set,Epochs,Temperature,Generations,Validity Dimension,Validity Player Count,Validity Crate Storage Location Count,Novelty to Training Set,Novelty to Each Other,Novelty to All
10-input-3-epoch-0.5-temp-50-output,training-set-10-examples,3,0.5,50,0.0,0.54,0.06,1.0,0.27496897533806025,0.8791614958896768
50-input-3-epoch-0.5-temp-50-output,training-set-50-examples,3,0.5,50,0.0,0.44,0.14,0.9197009057370802,0.4308676150361121,0.8433207040650539
100-input-3-epoch-0.5-temp-50-output,training-set-100-examples,3,0.5,50,0.0,0.72,0.04,0.8618174383599964,0.5280759119427935,0.8046046052599045
200-input-3-epoch-0.5-temp-50-output,training-set-200-examples,3,0.5,50,0.0,0.66,0.06,0.9128204520455256,0.4367463415250965,0.8384338722767085
10-input-5-epoch-0.5-temp-50-output,training-set-10-examples,5,0.5,50,0.0,0.36,0.1,1.0,0.2760058497223953,0.9463708036831404
50-input-5-epoch-0.5-temp-50-output,training-set-50-examples,5,0.5,50,0.0,0.62,0.1,0.9541604620836489,0.6372854820569893,0.9424243517122911
100-input-5-epoch-0.5-temp-50-output,training-set-100-examples,5,0.5,50,0.0,0.76,0.06,0.8900153214519176,0.3542051971237816,0.8389857858016189
200-input-5-epoch-0.5-temp-50-output,training-set-200-examples,5,0.5,50,0.0,0.84,0.08,0.7656687062360428,0.5734350139380502,0.7601763150275287
10-input-10-epoch-0.5-temp-50-output,training-set-10-examples,10,0.5,50,0.0,0.74,0.02,0.9640724771774214,0.46749094349887543,0.9272886598678994
50-input-10-epoch-0.5-temp-50-output,training-set-50-examples,10,0.5,50,0.0,0.78,0.06,0.954851281126212,nan,0.954851281126212
100-input-10-epoch-0.5-temp-50-output,training-set-100-examples,10,0.5,50,0.0,0.82,0.04,0.8177223041787195,0.648975388110105,0.8021456657723858
200-input-10-epoch-0.5-temp-50-output,training-set-200-examples,10,0.5,50,0.0,0.84,0.02,0.7642889679212023,0.5794961704943294,0.7486726751809032
